,teams
0,Delhi Capitals
1,Chennai Super Kings
2,Royal Challengers Bangalore
3,Kolkata Knight Riders
4,Mumbai Indians
5,Punjab Kings
6,Rajasthan Royals
7,Sunrisers Hyderabad
